key;ru;en
"story.c1e6.victory.1";"Готово. Принцесса свободна, а Гнидальф — свободно немыт.";"Done. The princess is free, and Gnidalf is freely filthy."
"story.c1e6.victory.2";"Спасибо, принц. От тебя, кстати, тоже… ну, потом помоешься.";"Thanks, prince. You also… well, you can shower later."
"story.c1e6.defeat.1";"Почти. В следующий раз захвачу мыло — вдруг поможет.";"So close. Next time I'll bring soap — might help."
"card.stolen_princess.4.name";"Королевский шарм";"Royal Charm"
"card.stolen_princess.4.desc";"Существа оппонента получают -1/-1, ваши существа — +1/+1";"Enemy creatures get -1/-1, your creatures get +1/+1"
"card.stolen_princess.5.name";"Королевская попойка";"Royal Bender"
"card.stolen_princess.5.desc";"Получите 2 маны и замешайте в колоду 10 Попоек (каждая при взятии даёт 2 маны)";"Gain 2 mana and shuffle 10 Benders into your deck (each gives 2 mana when drawn)"
"card.stolen_princess.6.name";"Вечная попойка";"Eternal Bender"
"card.stolen_princess.6.desc";"В начале матча: если в вашей колоде нет существ, до конца матча ваш минимальный запас маны — 3. При взятии: даёт 3 маны";"At the start of the match: if your deck has no creatures, your minimum mana becomes 3 for the rest of the match. When drawn: gives 3 mana"
"card.stolen_princess.7.name";"Попойка";"Bender"
"card.stolen_princess.7.desc";"При взятии: даёт 2 маны";"When drawn: gives 2 mana"
"card.stolen_princess.10.tier.0.desc";"При смерти: разыграйте 3 заклинания за 3 и меньше";"On death: cast 3 random spells costing 3 or less"
"card.stolen_princess.10.tier.1.desc";"При смерти: разыграйте 5 заклинаний за 5 и меньше";"On death: cast 5 random spells costing 5 or less"
"card.stolen_princess.10.tier.2.desc";"При смерти: разыграйте 10 заклинаний";"On death: cast 10 random spells"
"card.stolen_princess.8.name";"Канализационный прорыв";"Sewer Breach"
"card.stolen_princess.8.desc";"Сбросьте существо, нанесите 3 урона врагам";"Discard a creature, deal 3 damage to enemies"
"card.stolen_princess.9.name";"Выгребной мусор";"Cesspit Trash"
"card.stolen_princess.9.desc";"При сбросе: призовите это существо и его копию";"When discarded: summon this creature and a copy of it"
"card.stolen_princess.10.name";"Королевская пиньята";"Royal Pinata"
"card.stolen_princess.11.name";"Начальник мусорки";"Dump Boss"
"card.stolen_princess.11.desc";"При разыгрывании: сбрасывает самую слабую карту, замешивает 2 копии в колоду";"When played: discards your cheapest card, shuffles 2 copies of it into your deck"
"card.stolen_princess.12.name";"Выбросить мусор";"Take Out the Trash"
"card.stolen_princess.12.desc";"Призывает Мусор 3/3/2. При сбросе: призывает ещё один";"Summons a 3/3/2 Trash. When discarded: summons another"
"card.stolen_princess.13.name";"Мусор";"Trash"
"card.stolen_princess.14.name";"Утилизация";"Salvage"
"card.stolen_princess.14.desc";"Сбросьте самую слабую карту, нанесите урон врагам, равный стоимости карты";"Discard your cheapest card, deal damage to enemies equal to its cost"
"ui.battle.conn.silent";"Соперник не отвечает…";"Opponent is not responding…"
"ui.battle.conn.left";"Соперник отключился";"Opponent disconnected"
"ui.battle.conn.lost";"Соединение потеряно";"Connection lost"
"ui.battle.conn.countdown";"Матч завершится через {0} с";"Match ends in {0}s"
"ui.battle.resync";"Синхронизация…";"Synchronizing…"
"card.stolen_princess.15.name";"Домашний медик";"Home Medic"
"card.stolen_princess.15.desc";"В конце хода: восстанавливает *5* здоровья самому раненому вашему персонажу";"At the end of turn: restores *5* health to your most wounded character"
"card.stolen_princess.16.name";"Плюющий сорняк";"Spitting Weed"
"card.stolen_princess.16.desc";"В конце хода: наносит *1* урона случайному врагу";"At the end of turn: deals *1* damage to a random enemy"
"card.stolen_princess.17.name";"Королевский сорняк";"Royal Weed"
"card.stolen_princess.17.desc";"При смерти: если в вашей колоде одни сорняки, заполните свой ряд сорняками из колоды";"On death: if your deck is nothing but weeds, fill your row with weeds from your deck"
"card.stolen_princess.18.name";"Подлечись";"Patch Up"
"card.stolen_princess.18.desc";"Восстановите *5* здоровья. Если все ваши карты жёлтые — восстановите ещё *5*";"Restore *5* health. If all your cards are yellow, restore *5* more"
"card.stolen_princess.19.name";"Запойное время";"Bender Time"
"card.stolen_princess.19.desc";"Даёт 5 маны. Если в вашей колоде нет существ — стоит 0";"Gives 5 mana. Costs 0 if your deck has no creatures"
"card.stolen_princess.20.name";"Проходная на свалку";"Landfill Gatehouse"
"card.stolen_princess.20.desc";"Когда вы берёте карту: сбросьте её. Существо — призовите его копию, заклинание — положите копию в руку, она стоит на 2 меньше";"When you draw a card: discard it. A creature — summon a copy of it; a spell — put a copy into your hand, it costs 2 less"
"card.stolen_princess.21.name";"Пожизненная подписка на утилизацию";"Lifetime Salvage Subscription"
"card.stolen_princess.21.desc";"До конца матча: когда вы сбрасываете карту — разыграйте её копию";"Until the end of the match: when you discard a card, cast a copy of it"
"card.stolen_princess.22.name";"Приглашение на королевскую вечеринку";"Royal Party Invitation"
"card.stolen_princess.22.desc";"Посмотрите обе руки и выберите по одной карте — разыграйте их под вашим контролем";"Look at both hands and pick one card from each — play them under your control"
"tier.hint.goldmax";"(Больше золота — выше уровень)";"(More gold — higher tier)"
"tier.hint.manamax";"(Больше маны — выше уровень)";"(More mana — higher tier)"
"tier.hint.corpses";"(Больше трупов — выше уровень)";"(More corpses — higher tier)"
"card.stolen_princess.23.name";"Подписка на утилизацию";"Salvage Subscription"
"card.stolen_princess.23.desc";"Когда вы сбрасываете карту — разыграйте её копию";"When you discard a card, cast a copy of it"
"card.stolen_princess.24.name";"Крышующий мусорку";"Landfill Racketeer"
"card.stolen_princess.24.desc";"В начале матча: оппонент сбрасывает 1 карту, если в вашей колоде все карты имеют Черный цвет, сбрасывает еще 1";"At the start of the match: your opponent discards a card. If all cards in your deck are Black, they discard 1 more"
"card.stolen_princess.25.name";"Королевский собутыльник";"Royal Drinking Buddy"
"card.stolen_princess.25.desc";"При разыгрывании: оба игрока сбрасывают по 1 самой сильной карте";"When played: both players discard their strongest card"
"card.stolen_princess.26.name";"Мастер трансмутаций";"Transmutation Master"
"card.stolen_princess.26.desc";"При разыгрывании: превращает выбранное существо в случайное за X, где X — сколько раз вы разыграли эту карту";"When played: transforms a chosen creature into a random one costing X, where X is how many times you have played this card"
"card.stolen_princess.27.name";"Канализационный мутаген";"Sewer Mutagen"
"card.stolen_princess.27.desc";"Превращает существо в случайное существо за 1";"Transforms a creature into a random 1-cost creature"
"card.stolen_princess.28.name";"Профилактический экзорцизм";"Preventive Exorcism"
"card.stolen_princess.28.tier.0.desc";"Нанесите всем существам 3 урона";"Deal 3 damage to all creatures"
"card.stolen_princess.28.tier.1.desc";"Нанесите всем существам 5 урона";"Deal 5 damage to all creatures"
"card.stolen_princess.28.tier.2.desc";"Нанесите всем существам 7 урона";"Deal 7 damage to all creatures"
"card.stolen_princess.29.name";"Накопившееся раздражение";"Pent-Up Frustration"
"card.stolen_princess.29.tier.0.desc";"Нанесите 2 урона выбранному врагу";"Deal 2 damage to an enemy"
"card.stolen_princess.29.tier.1.desc";"Нанесите 4 урона выбранному врагу";"Deal 4 damage to an enemy"
"card.stolen_princess.29.tier.2.desc";"Нанесите 8 урона выбранному врагу";"Deal 8 damage to an enemy"
"card.stolen_princess.30.name";"Бесчестный букмекер";"Crooked Bookie"
"card.stolen_princess.30.desc";"При разыгрывании: ваша следующая карта нанесёт вам урон вместо своей стоимости";"When played: your next card deals its cost as damage to you instead of paying it"
"ui.card.tiers";"Уровни карты";"Card tiers"
"tier.preview.name";"Уровень {0}";"Tier {0}"
"tier.preview.thr.goldmax";"от {0} золота";"{0}+ gold"
"tier.preview.thr.manamax";"от {0} маны";"{0}+ mana"
"tier.preview.thr.corpses";"от {0} трупов";"{0}+ corpses"
"card.stolen_princess.31.name";"Медлительный дворецкий";"Slow-Footed Butler"
"card.stolen_princess.31.desc";"Когда оппонент разыгрывает существо дороже этого, призовите этого дворецкого, где бы он ни был";"When your opponent plays a creature costing more than this, summon this butler from wherever it is"
"card.stolen_princess.32.name";"Блаженный дьякон";"Blissed-Out Deacon"
"card.stolen_princess.32.desc";"Пока в руке: когда вы разыгрываете жёлтую карту — положите её копию в руку; карту без жёлтого — возьмите карту";"While in hand: when you play a yellow card, put a copy of it into your hand; a non-yellow card — draw a card"
"ui.reconnect.resume";"Кажется, вы пытались сбежать из прошлого боя. Возвращаем вас обратно…";"Looks like you tried to flee your last match. Dragging you back…"
"ui.reconnect.waiting";"Ваше место в бою ещё занято вами же. Ждём, пока сервер это заметит…";"Your seat is still taken — by you. Waiting for the server to notice…"
"ui.reconnect.failed";"Побег удался: тот бой закончился без вас.";"You got away — that match ended without you."
"card.stolen_princess.33.name";"Очарование принцессы";"The Princess's Charm"
"card.stolen_princess.33.desc";"Скорость всех существ равна *1*";"All creatures have *1* speed"
"card.stolen_princess.34.name";"Попаданцы";"The Uninvited"
"card.stolen_princess.34.desc";"В начале хода: призывает случайное существо за 1. С каждой активацией стоимость призванного растёт";"At the start of your turn: summons a random 1-cost creature. Each activation summons a costlier one"
"card.stolen_princess.35.name";"Шальной десница";"The Reckless Hand"
"card.stolen_princess.35.desc";"Пока в руке: другие ваши существа получают *+1* к атаке и *+1* к скорости";"While in hand: your other creatures gain *+1* attack and *+1* speed"
"card.stolen_princess.36.name";"Развилка";"The Crossroads"
"card.stolen_princess.36.desc";"В начале хода: посмотрите 3 пути и выберите 1";"At the start of your turn: look at 3 paths and choose 1"
"card.stolen_princess.37.name";"Налево пойдёшь!";"Go Left!"
"card.stolen_princess.37.desc";"Богатство обретёшь: получите *3* золота и *3* маны";"Fortune awaits: gain *3* gold and *3* mana"
"card.stolen_princess.38.name";"Прямо пойдёшь!";"Go Straight!"
"card.stolen_princess.38.desc";"Силу обретёшь: ваши существа получают *+1*/*+1*/*+1*, где бы они ни были";"Might awaits: your creatures gain *+1*/*+1*/*+1* wherever they are"
"card.stolen_princess.39.name";"Направо пойдёшь!";"Go Right!"
"card.stolen_princess.39.desc";"Знания обретёшь: возьмите *2* карты";"Wisdom awaits: draw *2* cards"
"card.stolen_princess.40.name";"Сказочник";"The Storyteller"
"card.stolen_princess.40.desc";"Пока собираете колоду: отложите *3* карты. При разыгрывании: возьмите одну из них в руку";"While building your deck: set aside *3* cards. Battlecry: draw one of them"
"ui.deck.no_sideboard";"В колоде нет карты, которая позволяет откладывать";"No card in the deck allows setting cards aside"
"ui.deck.sideboard_full";"Отложено уже достаточно карт";"Enough cards are already set aside"
"ui.deck.sideboard_edit";"Выберите карты, которые отложите";"Choose the cards to set aside"
"card.stolen_princess.41.name";"Королевский шут";"Royal Jester"
"card.stolen_princess.41.desc";"При разыгрывании: посмотрите 3 шутки, выберите 1. При смерти: разыграйте выбранную шутку";"When played: look at 3 jokes, choose 1. On death: play the chosen joke"
"card.stolen_princess.42.name";"Собиратель кукол";"Doll Collector"
"card.stolen_princess.42.desc";"Когда умирает ваше существо: призывает его копию 1/1/1";"When your creature dies: summons a 1/1/1 copy of it"
"card.stolen_princess.43.name";"Сказочный волшебник Упс";"Fairy-Tale Wizard Oops"
"card.stolen_princess.43.desc";"Пока в руке: каждое 5 заклинание срабатывает трижды";"While in hand: every 5th spell triggers three times"
"card.stolen_princess.44.name";"Королевский садовник";"Royal Gardener"
"card.stolen_princess.44.tier.0.desc";"При разыгрывании: до конца матча ваши Сорняки получают +1/+1 и умирают через 2 хода";"When played: until the end of the match, your Weeds get +1/+1 and die after 2 turns"
"card.stolen_princess.44.tier.1.desc";"При разыгрывании: до конца матча ваши Сорняки получают +2/+2 и умирают через 3 хода";"When played: until the end of the match, your Weeds get +2/+2 and die after 3 turns"
"card.stolen_princess.45.name";"Королевский подпевала";"Royal Yes-Man"
"card.stolen_princess.45.desc";"В конце хода: ваши существа получают +1 к атаке";"At the end of turn: your creatures gain +1 attack"
"card.stolen_princess.46.name";"Поедатель дворцовой жратвы";"Palace Chow Guzzler"
"card.stolen_princess.46.desc";"При разыгрывании: получает +4 к здоровью";"When played: gains +4 health"
"card.stolen_princess.47.name";"Усталый работяга";"Weary Worker"
"card.stolen_princess.47.desc";"При смерти: ваши существа получают +1/+1";"On death: your creatures get +1/+1"
"card.stolen_princess.48.name";"Придворный друид";"Court Druid"
"card.stolen_princess.48.desc";"При разыгрывании: если вы контролируете Сорняк, получает +1/+1";"When played: if you control a Weed, gains +1/+1"
"card.stolen_princess.49.name";"Придворный демонолог";"Court Demonologist"
"card.stolen_princess.49.desc";"При разыгрывании: если вы контролируете Чёрта, наносит врагу *4* урона";"When played: if you control an Imp, deals *4* damage to the enemy"
"card.stolen_princess.50.name";"Пиротехник на полставки";"Part-Time Pyrotechnician"
"card.stolen_princess.50.tier.0.desc";"При разыгрывании: наносит *1* урона врагу";"When played: deals *1* damage to the enemy"
"card.stolen_princess.50.tier.1.desc";"При разыгрывании: наносит *1* урона всем врагам";"When played: deals *1* damage to all enemies"
"card.stolen_princess.51.name";"Оскорбительная";"The Insulting Joke"
"card.stolen_princess.51.desc";"Атака существ оппонента до вашего следующего хода - 1";"Opponent's creatures' attack is - 1 until your next turn"
"card.stolen_princess.52.name";"Смешная шутка";"The Funny Joke"
"card.stolen_princess.52.desc";"В начале вашего следующего хода восстановите *6* здоровья";"At the start of your next turn, restore *6* health"
"card.stolen_princess.53.name";"Повторная шутка";"The Recurring Joke"
"card.stolen_princess.53.desc";"В начале вашего следующего хода посмотрите 3 карты в руке, выберите 1 и замешайте копию в колоду";"At the start of your next turn, look at 3 cards in hand, choose 1, and shuffle a copy into your deck"
"card.stolen_princess.54.name";"Посадил по-королевски";"Planted Like Royalty"
"card.stolen_princess.54.desc";"До конца матча: ваши Сорняки получают +1/+1 и умирают через 2 хода";"Until the end of the match: your Weeds get +1/+1 and die after 2 turns"
"card.stolen_princess.55.name";"Посадил по-королевски";"Planted Like Royalty"
"card.stolen_princess.55.desc";"До конца матча: ваши Сорняки получают +2/+2 и умирают через 3 хода";"Until the end of the match: your Weeds get +2/+2 and die after 3 turns"
"card.stolen_princess.56.name";"Сказочное желание";"Fairy-Tale Wish"
"card.stolen_princess.56.desc";"В начале хода: выберите разыграть случайное заклинание за 1, за 3, за 5 или за 7";"At the start of turn: choose to cast a random spell costing 1, 3, 5, or 7"
"card.stolen_princess.57.name";"Пожелать заклинание за 1";"Wish for a 1-Cost Spell"
"card.stolen_princess.57.desc";"Разыграйте случайное заклинание за 1 или дешевле";"Cast a random spell costing 1 or less"
"card.stolen_princess.58.name";"Пожелать заклинание за 3";"Wish for a 3-Cost Spell"
"card.stolen_princess.58.desc";"Разыграйте случайное заклинание за 3 или дешевле";"Cast a random spell costing 3 or less"
"card.stolen_princess.59.name";"Пожелать заклинание за 5";"Wish for a 5-Cost Spell"
"card.stolen_princess.59.desc";"Разыграйте случайное заклинание за 5 или дешевле";"Cast a random spell costing 5 or less"
"card.stolen_princess.60.name";"Пожелать заклинание за 7";"Wish for a 7-Cost Spell"
"card.stolen_princess.60.desc";"Разыграйте случайное заклинание за 7 или дешевле";"Cast a random spell costing 7 or less"
"card.stolen_princess.61.name";"Пригласить вип-гостей";"Invite VIP Guests"
"card.stolen_princess.61.tier.0.desc";"Призывает Недовип-гостя";"Summons a Wannabe VIP Guest"
"card.stolen_princess.61.tier.1.desc";"Призывает Недовип-гостя и Вип-гостя";"Summons a Wannabe VIP Guest and a VIP Guest"
"card.stolen_princess.61.tier.2.desc";"Призывает Недовип-гостя, Вип-гостя и Ультравип-гостя";"Summons a Wannabe VIP Guest, a VIP Guest, and an Ultra-VIP Guest"
"card.stolen_princess.62.name";"Недовип-гость";"Wannabe VIP Guest"
"card.stolen_princess.63.name";"Вип-гость";"VIP Guest"
"card.stolen_princess.64.name";"Ультравип-гость";"Ultra-VIP Guest"
"card.stolen_princess.65.name";"Испортить урожай";"Spoil the Harvest"
"card.stolen_princess.65.desc";"В начале вашего следующего хода: все существа умрут";"At the start of your next turn: all creatures die"
"card.stolen_princess.66.name";"Порченный урожай";"Spoiled Harvest"
"card.stolen_princess.66.desc";"В начале вашего следующего хода: все существа умрут";"At the start of your next turn: all creatures die"
"card.stolen_princess.67.name";"Напустить саранчу";"Unleash the Locusts"
"card.stolen_princess.67.desc";"Накладывает эффект на всех существ: получите 1 урона в конце хода";"Applies an effect to all creatures: take 1 damage at the end of turn"
"card.stolen_princess.68.name";"Проигранная партия";"Lost Cause"
"card.stolen_princess.68.desc";"Уничтожьте всех существ";"Destroy all creatures"
"card.stolen_princess.69.name";"Богоугодное дело";"The Lord's Work"
"card.stolen_princess.69.desc";"Нанесите всем существам 4 урона, если в вашей колоде все карты имеют желтый цвет - нанесите 4 урона всем врагам";"Deal 4 damage to all creatures; if all cards in your deck are yellow, deal 4 damage to all enemies instead"
"card.stolen_princess.81.name";"Позвать стражу";"Call the Guard"
"card.stolen_princess.81.desc";"Заполните свою сторону стражниками 3/3/2. Они сразу бросаются в атаку";"Fill your side with 3/3/2 guards. They immediately rush into the attack"
"card.stolen_princess.75.name";"Стражник";"Guardsman"
"card.stolen_princess.76.name";"Переросток";"The Overgrown"
"card.stolen_princess.71.name";"Второй туз из рукава";"Second Ace up the Sleeve"
"card.stolen_princess.71.desc";"Посмотрите 3 заклинания за 2, выберите 1 и положите в руку — оно стоит на 2 дешевле";"Look at 3 spells that cost 2, choose 1 and put it into your hand — it costs 2 less"
"card.stolen_princess.77.name";"Контрабандист";"Smuggler"
"card.stolen_princess.77.desc";"При разыгрывании: посмотрите 3 карты в колоде, выберите 1. При смерти: положите в руку выбранную карту";"Battlecry: look at 3 cards in your deck, choose 1. Deathrattle: put the chosen card into your hand"
"card.stolen_princess.82.name";"Предсказать будущее";"Foretell the Future"
"card.stolen_princess.82.desc";"Посмотрите 3 верхние карты колоды, выберите 1 и положите наверх, остальные — в конец колоды";"Look at the top 3 cards of your deck, choose 1 to put back on top; the rest go to the bottom"
"card.stolen_princess.83.name";"Запустить фейерверки";"Set Off Fireworks"
"card.stolen_princess.83.desc";"Нанесите 2 урона случайному врагу трижды";"Deal 2 damage to a random enemy, three times"
"card.stolen_princess.78.name";"Батюшка-барыга";"Father Fence"
"card.stolen_princess.78.desc";"При разыгрывании: посмотрите 3 последних разыгранных заклинания, выберите 1 и положите в руку. Если оно жёлтого цвета — стоит на 2 дешевле";"Battlecry: look at the last 3 spells played, choose 1 and put it into your hand. If it's yellow, it costs 2 less"
"card.stolen_princess.84.name";"Покрестить принца";"Baptize the Prince"
"card.stolen_princess.84.desc";"Ваш командир получает +2 к здоровью, где бы он ни был";"Your commander gets +2 Health, wherever they are"
"card.stolen_princess.79.name";"Рыцарь с переростком";"Knight with the Overgrown One"
"card.stolen_princess.79.desc";"При смерти: призывает Переростка 4/4/2";"Deathrattle: summons a 4/4/2 Overgrown One"
"card.stolen_princess.80.name";"Сторожевая статуя";"Watchful Statue"
"card.stolen_princess.85.name";"Задать жару";"Bring the Heat"
"card.stolen_princess.85.desc";"Нанесите существам врага 5 урона. Если в вашей колоде нет существ — стоит 0";"Deal 5 damage to enemy creatures. Costs 0 if your deck has no creatures"
"card.stolen_princess.86.name";"Командующий королевской гвардией";"Commander of the Royal Guard"
"card.stolen_princess.86.desc";"Пока контролируете: ваши существа токены имеют Двойной удар";"While you control this: your token creatures have Double Strike"
"card.stolen_princess.87.name";"Неуклюжий страж";"Clumsy Guard"
"card.stolen_princess.88.name";"Вечеринка в бараке";"Barrack Party"
"card.stolen_princess.88.desc";"В начале хода: призывает Тусовщика из барака 1/1/4, улучшается с каждой активацией";"At the start of turn: summons a Barrack Partygoer 1/1/4. Improves with each activation"
"card.stolen_princess.89.name";"Тусовщик из барака";"Barrack Partygoer"
"card.stolen_princess.90.name";"Уроки махания палкой";"Stick-Swinging Lessons"
"card.stolen_princess.90.desc";"До начала вашего следующего хода: ваши существа имеют Двойной удар";"Until the start of your next turn: your creatures have Double Strike"
"card.stolen_princess.91.name";"Уроки махания палкой";"Stick-Swinging Lessons"
"card.stolen_princess.91.desc";"Ваши существа имеют Двойной удар";"Your creatures have Double Strike"
"card.stolen_princess.92.name";"На штурм!";"Storm the Gates!"
"card.stolen_princess.92.desc";"До конца хода: ваши существа получают +3 к атаке";"Until end of turn: your creatures get +3 Attack"
"card.stolen_princess.93.name";"Штурмовая лестница";"Siege Ladder"
"card.stolen_princess.93.desc";"До конца хода: ваши существа получают +2 к скорости";"Until end of turn: your creatures get +2 Speed"
"card.stolen_princess.94.name";"Вызвать скорую!";"Call an Ambulance!"
"card.stolen_princess.94.desc";"Восстановите 4 здоровья всем своим персонажам";"Restore 4 health to all your characters"
"card.stolen_princess.95.name";"Полевой госпиталь";"Field Hospital"
"card.stolen_princess.95.desc";"В начале хода: восстанавливает 1 здоровья всем своим персонажам, улучшается с каждой активацией";"At the start of turn: restores 1 health to all your characters. Improves with each activation"
"card.stolen_princess.96.name";"Братишка";"Bro"
"card.stolen_princess.96.desc";"";""
"card.stolen_princess.97.name";"Братская помощь";"Brotherly Aid"
"card.stolen_princess.97.desc";"Призывает двух Братишек 2/4/2 со свойством Защитник";"Summons two 2/4/2 Bros with Guardian"
"card.stolen_princess.98.name";"Одобрение принцессы";"Princess's Approval"
"card.stolen_princess.98.desc";"Дайте вашему существу +5 к атаке до конца хода";"Give your creature +5 Attack until end of turn"
"card.stolen_princess.99.name";"Круговой удар";"Sweeping Strike"
"card.stolen_princess.99.desc";"Наложите на выбранное существо эффект «При атаке: наносит 1 урона всем существам оппонента»";"Apply to target creature: «On attack: deals 1 damage to all enemy creatures»"
"card.stolen_princess.102.name";"Распорядитель королевской тусовки";"Master of the Royal Rager"
"card.stolen_princess.102.desc";"Пока в руке: в начале хода призывает 2 Тусовщика из барака 1/1/4";"While in hand: at the start of turn, summons 2 Barrack Partygoers 1/1/4"
"card.stolen_princess.103.name";"Тройняшки из прислуги";"Servant Triplets"
"card.stolen_princess.103.desc";"При розыгрыше призывает ещё двух Тройняшек 1/2/2";"When played, summons two more Triplets 1/2/2"
"card.stolen_princess.104.name";"Тройняшки из прислуги";"Servant Triplets"
"card.stolen_princess.105.name";"Надоедливый начальник";"Annoying Boss"
"card.stolen_princess.106.name";"Чемпион королевской вечеринки";"Champion of the Royal Party"
"card.stolen_princess.107.name";"Королевский палач";"Royal Executioner"
"card.stolen_princess.107.desc";"Когда вы разыгрываете существо с атакой 3 или больше — призовите это существо, где бы оно ни было";"When you play a creature with 3 or more Attack, summon this creature wherever it is"
"card.stolen_princess.70.name";"Достать туза из рукава";"Pull an Ace from Your Sleeve"
"card.stolen_princess.70.desc";"Посмотрите 3 заклинания за 1, выберите 1 и положите в руку — оно стоит на 1 дешевле. Положите в руку «Второй туз из рукава»";"Look at 3 spells that cost 1, choose 1 and put it into your hand — it costs 1 less. Put «Second Ace up the Sleeve» into your hand"
"card.stolen_princess.72.name";"Прокачать чары";"Empower Charms"
"card.stolen_princess.72.desc";"Чары под вашим контролем длятся на 1 ход дольше";"Charms you control last 1 turn longer"
"card.stolen_princess.73.name";"Зачарованный";"Enchanted One"
"card.stolen_princess.73.desc";"При разыгрывании: ваши чары в этом матче длятся на 1 дольше";"Battlecry: your charms last 1 turn longer for the rest of this match"
"card.stolen_princess.74.name";"Зачаровать матч";"Enchant the Match"
"card.stolen_princess.74.desc";"Посмотрите 3 чары, выберите 1 и разыграйте — её длительность продлевается до конца матча";"Look at 3 charms, choose 1 and play it — its duration is extended to the end of the match"
